data,confirmados,ativos,recuperados,obitos,novos
2020-10-09,8904,923,7836,145,54
2020-10-10,8964,979,7840,145,60
2020-10-11,8998,1004,7849,145,34
2020-10-12,9018,972,7900,146,20
2020-10-13,9116,980,7989,147,100
2020-10-14,9190,1043,7998,149,75
2020-10-15,9272,1027,8096,149,82
2020-10-16,9374,1013,8211,150,103
2020-10-17,9439,1068,8220,151,65
2020-10-18,9494,1121,8221,152,55
2020-10-19,9558,1169,8235,154,64
2020-10-20,9639,1246,8236,157,81
2020-10-21,9732,1249,8325,158,93
2020-10-22,9791,1226,8407,158,59
2020-10-23,9881,1272,8450,159,90
2020-10-24,9949,1316,8474,159,68
2020-10-25,10026,1391,8476,159,77
2020-10-26,10093,1444,8489,160,68
2020-10-27,10212,1526,8526,160,121
2020-10-28,10254,1484,8610,160,42
2020-10-29,10351,1508,8682,161,97
2020-10-30,10397,1524,8711,162,46
2020-10-31,10421,1548,8711,162,24
2020-11-01,10438,1565,8711,162,17
2020-11-02,10465,1592,8711,162,27
2020-11-03,10518,1490,8863,165,53
2020-11-04,10590,1442,8980,168,73
2020-11-05,10672,1304,9200,168,82
2020-11-06,10848,1175,9503,170,176
2020-11-07,10891,1090,9630,171,43
2020-11-08,10936,1091,9673,172,45
2020-11-09,11012,1040,9798,174,76
2020-11-10,11121,1107,9836,178,109
2020-11-11,11265,1222,9862,181,144
2020-11-12,11469,1397,9891,181,204
2020-11-13,11679,1558,9938,183,210
2020-11-14,11784,1603,9998,183,105
2020-11-15,11876,1686,10007,183,92
2020-11-16,12063,1725,10154,184,188
2020-11-17,12366,1966,10215,185,303
2020-11-18,12564,2049,10328,187,201
2020-11-19,12744,2154,10403,187,181
2020-11-20,12919,2216,10514,189,175
2020-11-21,12981,2221,10571,189,62
2020-11-22,13082,2192,10700,190,101
2020-11-23,13486,2431,10865,190,404
2020-11-24,13893,2547,11150,196,407
2020-11-25,14156,2725,11232,199,264
2020-11-26,14365,2725,11437,203,209
2020-11-27,14628,2896,11528,204,270
2020-11-28,14836,2956,11675,205,208
2020-11-29,15046,2959,11881,206,210
2020-11-30,15455,3203,12045,207,410
2020-12-01,15779,3316,12250,213,324
2020-12-02,16009,3497,12298,214,233
2020-12-03,16328,3662,12449,217,319
2020-12-04,16620,3849,12552,219,300
2020-12-05,16767,3760,12788,219,147
2020-12-06,16832,3274,13337,221,65
2020-12-07,16941,3016,13700,225,110
2020-12-08,17474,3365,13879,230,536
2020-12-09,17894,3680,13979,235,421
2020-12-10,18200,3857,14106,237,306
2020-12-11,18601,4110,14250,241,409
2020-12-12,18872,4292,14339,241,271
2020-12-13,19000,4253,14505,242,128
2020-12-14,19258,4434,14579,245,259
2020-12-15,19661,4561,14843,257,403
2020-12-16,20030,4783,14865,262,382
2020-12-17,20337,5029,15042,266,310
2020-12-18,20493,4933,15291,269,156
2020-12-19,20682,4698,15715,269,189
2020-12-20,20881,4417,16194,270,199
2020-12-21,21019,4283,16459,277,139
2020-12-22,21423,4546,16596,281,404
2020-12-23,21664,4483,16890,291,245
2020-12-24,21804,4449,17063,292,140
2020-12-25,21850,4266,17290,293,139
2020-12-26,21896,4084,17517,293,138
2020-12-27,21941,3902,17745,294,137
2020-12-28,22104,3511,18292,301,167
2020-12-29,22304,2911,19090,303,204
2020-12-30,22484,2812,19366,306,179
2020-12-31,22559,2760,19492,307,76
2021-01-01,22616,2781,19526,308,107
2021-01-02,22673,2802,19560,309,138
2021-01-03,22729,2824,19595,310,170
2021-01-04,22864,2677,19876,311,142
2021-01-05,23048,2324,20407,317,184
2021-01-06,23287,2335,20630,322,240
2021-01-07,23395,2043,21029,323,108
2021-01-08,23496,1716,21457,323,102
2021-01-09,23641,1798,21520,323,145
2021-01-10,23718,1677,21718,323,77
2021-01-11,23830,1653,21851,326,113
2021-01-12,24180,1683,22169,328,350
2021-01-13,24286,1605,22344,337,106
2021-01-14,24516,1728,22449,339,230
2021-01-15,24671,1523,22806,342,175
2021-01-16,24733,1493,22898,342,62
2021-01-17,24822,1481,22999,342,89
2021-01-18,24949,1462,23139,348,129
2021-01-19,25075,1507,23217,351,132
2021-01-20,25236,1555,23329,352,161
2021-01-21,25476,1596,23528,352,241
2021-01-22,25625,1522,23748,355,153
2021-01-23,25688,1510,23823,355,63
2021-01-24,25724,1406,23962,356,36
2021-01-25,25881,1546,23972,362,158
2021-01-26,26003,1451,24187,365,123
2021-01-27,26130,1489,24275,366,127
2021-01-28,26262,1575,24320,367,134
2021-01-29,26446,1741,24336,369,186
2021-01-30,26540,1629,24542,369,94
2021-01-31,26573,1522,24682,369,33
2021-02-01,26610,1171,25064,375,38
2021-02-02,26750,1189,25185,376,145
2021-02-03,26912,1172,25363,377,162
2021-02-04,27078,1298,25403,377,167
2021-02-05,27178,1216,25581,381,103
2021-02-06,27178,1208,25589,381,51
2021-02-07,27177,1200,25596,381,0
2021-02-08,27389,1366,25639,384,213
2021-02-09,27611,1560,25665,386,222
2021-02-10,27768,1495,25884,389,158
2021-02-11,27870,1433,26046,391,105
2021-02-12,28107,1526,26189,392,237
2021-02-13,28219,1602,26225,393,271
2021-02-14,28231,1678,26261,394,305
2021-02-15,28444,1753,26296,395,338
2021-02-16,28643,1878,26369,396,201
2021-02-17,28870,1669,26802,399,227
2021-02-18,29180,1849,26926,405,314
2021-02-19,29318,1866,27044,408,138
2021-02-20,29472,1865,27197,410,247
2021-02-21,29626,1864,27350,412,356
2021-02-22,29781,1863,27503,415,464
2021-02-23,30031,2031,27581,419,250
2021-02-24,30249,2051,27777,421,222
2021-02-25,30488,2172,27892,424,239
2021-02-26,30656,2112,28115,429,168
2021-02-27,30792,2227,28135,431,250
2021-02-28,30928,2342,28155,433,332
2021-03-01,31064,2456,28174,434,415
2021-03-02,31435,2779,28204,452,371
2021-03-03,31893,3114,28320,459,459
2021-03-04,32306,3510,28322,474,417
2021-03-05,32424,3480,28465,480,364
2021-03-06,32542,3449,28608,486,312
2021-03-07,32660,3418,28751,492,260
2021-03-08,32779,3387,28894,498,208
2021-03-09,33276,3719,29048,509,498
2021-03-10,33832,4021,29289,522,556
2021-03-11,34093,3814,29745,534,264
2021-03-12,34364,3526,30286,552,278
2021-03-13,34545,3635,30352,559,369
2021-03-14,34726,3744,30418,566,460
2021-03-15,34908,3852,30484,572,551
2021-03-16,35208,3931,30693,584,301
2021-03-17,35592,4133,30863,596,387
2021-03-18,35886,4066,31211,609,295
2021-03-19,36176,3719,31822,635,296
2021-03-20,36289,3769,31882,639,311
2021-03-21,36402,3819,31942,643,326
2021-03-22,36516,3868,32001,647,340
2021-03-23,36804,3363,32774,667,291
2021-03-24,37016,3077,33272,677,214
2021-03-25,37225,2742,33794,689,216
2021-03-26,37560,2822,34034,704,337
2021-03-27,37622,2803,34111,708,286
2021-03-28,37684,2784,34188,712,235
2021-03-29,37745,2765,34265,715,184
2021-03-30,37931,2297,34901,733,188
2021-03-31,38190,1997,35447,746,260
2021-04-01,38381,1904,35706,771,192
2021-04-02,38413,1863,35772,778,32
2021-04-03,38513,1872,35859,782,100
2021-04-04,38605,1822,35992,791,92
2021-04-05,38807,1917,36090,800,207
2021-04-06,38966,1771,36386,809,159
2021-04-07,39115,1914,36381,820,158
2021-04-08,39295,1814,36651,830,181
2021-04-09,39440,1689,36909,842,146
2021-04-10,39487,1727,36913,847,47
2021-04-11,39536,1773,36913,850,49
2021-04-12,39617,1402,37352,863,82
2021-04-13,39725,1366,37485,874,112
2021-04-14,39828,1343,37602,883,108
2021-04-15,39991,1261,37830,900,163
2021-04-16,40109,1199,38001,909,120
2021-04-17,40163,1188,38063,912,54
2021-04-18,40236,1196,38122,918,73
2021-04-19,40348,1056,38369,923,112
2021-04-20,40492,996,38566,930,150
2021-04-21,40582,973,38677,932,90
2021-04-22,40742,994,38810,938,160
2021-04-23,40965,1039,38975,951,225
2021-04-24,41026,1001,39072,953,61
2021-04-25,41041,1012,39075,954,15
2021-04-26,41166,943,39258,965,128
2021-04-27,41309,998,39262,975,147
2021-04-28,41466,943,39536,987,161
2021-04-29,41581,929,39654,998,116
2021-04-30,41805,968,39832,1005,227
2021-05-01,41885,946,39931,1008,80
2021-05-02,41970,978,39983,1009,85
2021-05-03,42053,921,40117,1015,83
2021-05-04,42233,1036,40178,1019,181
2021-05-05,42361,1107,40228,1024,128
2021-05-06,42465,1099,40336,1030,104
2021-05-07,42630,1149,40448,1033,165
2021-05-08,42695,1148,40513,1034,65
2021-05-09,42743,1151,40556,1036,48
2021-05-10,42785,1175,40573,1037,42
2021-05-11,42978,1241,40694,1043,195
2021-05-12,43101,1280,40773,1048,126
2021-05-13,43218,1248,40920,1050,119
2021-05-14,43410,1291,41066,1053,192
2021-05-15,43505,1249,41201,1055,95
2021-05-16,43542,1203,41284,1055,37
2021-05-17,43767,1294,41414,1059,225
2021-05-18,43898,1251,41580,1067,132
2021-05-19,44187,1377,41739,1071,289
2021-05-20,44499,1625,41801,1073,314
2021-05-21,44787,1745,41962,1080,288
2021-05-22,44917,1762,42072,1083,130
2021-05-23,44984,1733,42167,1084,67
2021-05-24,45233,1973,42173,1087,251
2021-05-25,45407,2017,42299,1091,177
2021-05-26,45629,2156,42377,1096,222
2021-05-27,45861,2163,42593,1105,232
2021-05-28,46160,2315,42736,1109,302
2021-05-29,46369,2424,42833,1112,209
2021-05-30,46433,2357,42963,1113,64
2021-05-31,46560,2270,43181,1119,130
2021-06-01,46952,2416,43408,1128,392
2021-06-02,47208,2416,43655,1137,257
2021-06-03,47347,2450,43758,1139,139
2021-06-04,47539,2481,43916,1142,192
2021-06-05,47693,2545,44003,1145,154
2021-06-06,47884,2600,44139,1145,196
2021-06-07,48171,2642,44374,1155,287
2021-06-08,48467,2708,44599,1160,296
2021-06-09,48685,2513,45001,1171,221
2021-06-10,48999,2573,45250,1176,315
2021-06-11,49286,2546,45557,1183,287
2021-06-12,49605,2678,45743,1184,319
2021-06-13,49687,2698,45804,1185,82
2021-06-14,49934,2656,46082,1196,250
2021-06-15,50376,2889,46281,1206,442
2021-06-16,50676,2938,46525,1212,301
2021-06-17,50980,3022,46737,1221,304
2021-06-18,51214,3030,46954,1230,239
2021-06-19,51364,2950,47180,1234,150
2021-06-20,51466,2956,47273,1237,102
2021-06-21,51669,2987,47435,1247,208
2021-06-22,51903,2901,47746,1256,234
2021-06-23,52213,3006,47936,1271,316
2021-06-24,52496,2986,48225,1285,284
2021-06-25,52849,3005,48548,1296,353
2021-06-26,53048,3035,48717,1296,199
2021-06-27,53286,2987,49003,1296,238
2021-06-28,53596,2993,49296,1307,314
2021-06-29,54044,3158,49569,1317,451
2021-06-30,54273,3129,49821,1323,230
2021-07-01,54558,3116,50115,1327,289
2021-07-02,54802,3055,50414,1333,246
2021-07-03,54987,2926,50726,1335,185
2021-07-04,55123,2894,50894,1335,136
2021-07-05,55364,2850,51171,1343,243
2021-07-06,55560,2656,51550,1354,199
2021-07-07,55685,2553,51768,1364,130
2021-07-08,55840,2477,51991,1372,157
2021-07-09,56009,2378,52251,1380,176
2021-07-10,56102,2212,52508,1382,93
2021-07-11,56148,2128,52638,1382,46
2021-07-12,56325,2058,52877,1390,178
2021-07-13,56429,1909,53122,1398,107
2021-07-14,56556,1744,53409,1403,129
2021-07-15,56697,1684,53605,1408,144
2021-07-16,56967,1538,54018,1411,272
2021-07-17,57076,1386,54276,1414,109
2021-07-18,57148,1201,54533,1414,72
2021-07-19,57375,1192,54763,1420,227
2021-07-20,57624,1101,55100,1423,249
2021-07-21,57782,1015,55339,1428,158
2021-07-22,57970,888,55649,1433,193
2021-07-23,58111,887,55787,1437,141
2021-07-24,58215,816,55962,1437,104
2021-07-25,58304,784,56083,1437,89
2021-07-26,58476,769,56267,1440,172
2021-07-27,58652,835,56375,1442,176
2021-07-28,58818,837,56536,1445,166
2021-07-29,58967,757,56762,1448,149
2021-07-30,59085,773,56861,1451,118
2021-07-31,59137,759,56927,1451,52
2021-08-01,59186,743,56992,1451,49
2021-08-02,59420,900,57065,1455,164
2021-08-03,59590,892,57240,1458,170
2021-08-04,59720,831,57423,1466,130
2021-08-05,59827,742,57615,1470,107
2021-08-06,59969,781,57715,1473,142
2021-08-07,60081,874,57732,1475,112
2021-08-08,60109,900,57734,1475,28
2021-08-09,60227,932,57817,1478,118
2021-08-10,60366,1015,57870,1481,160
2021-08-11,60548,1084,57979,1485,195
2021-08-12,60698,1110,58101,1487,170
2021-08-13,60838,1077,58270,1491,140
2021-08-14,60969,1048,58430,1491,131
2021-08-15,61053,996,58565,1492,84
2021-08-16,61215,938,58783,1494,162
2021-08-17,61350,929,58925,1496,135
2021-08-18,61479,990,58993,1496,129
2021-08-19,61582,951,59132,1499,103
2021-08-20,61662,874,59287,1500,131
2021-08-21,61741,797,59442,1502,159
2021-08-22,61817,823,59491,1503,76
2021-08-23,61913,682,59726,1505,111
2021-08-24,62066,723,59831,1512,157
2021-08-25,62121,686,59920,1515,55
2021-08-26,62185,661,60008,1516,64
2021-08-27,62257,640,60100,1517,72
2021-08-28,62291,576,60198,1517,34
2021-08-29,62315,541,60256,1518,24
2021-08-30,62428,571,60339,1518,113
2021-08-31,62491,611,60366,1520,63
2021-09-01,62563,628,60415,1520,72
2021-09-02,62680,626,60531,1523,137
2021-09-03,62776,602,60649,1525,96
2021-09-04,62848,598,60724,1526,72
2021-09-05,62874,569,60779,1526,26
